DATE,VIXCLS
1990-01-01,22.1746031746031746
1990-04-01,18.7220634920634921
1990-07-01,25.1955555555555556
1990-10-01,26.1132812500000000
1991-01-01,22.5158333333333333
1991-04-01,17.1470312500000000
1991-07-01,16.6342187500000000
1991-10-01,17.4553125000000000
1992-01-01,17.5642857142857143
1992-04-01,15.6163492063492063
1992-07-01,13.9020312500000000
1992-10-01,14.7610937500000000
1993-01-01,13.2553225806451613
1993-04-01,12.9731746031746032
1993-07-01,12.1171875000000000
1993-10-01,12.4215625000000000
1994-01-01,13.4361904761904762
1994-04-01,14.5125806451612903
1994-07-01,12.5162500000000000
1994-10-01,15.2687301587301587
1995-01-01,11.9923809523809524
1995-04-01,12.1903174603174603
1995-07-01,12.4726984126984127
1995-10-01,12.8996825396825397
1996-01-01,15.3982539682539683
1996-04-01,16.3682539682539683
1996-07-01,16.7784375000000000
1996-10-01,17.2062500000000000
1997-01-01,19.9165000000000000
1997-04-01,19.9229687500000000
1997-07-01,22.4450000000000000
1997-10-01,27.0923809523809524
1998-01-01,21.3245901639344262
1998-04-01,21.5342857142857143
1998-07-01,29.7517187500000000
1998-10-01,29.5371875000000000
1999-01-01,27.2527868852459016
1999-04-01,24.3955555555555556
1999-07-01,23.3206250000000000
1999-10-01,22.6582812500000000
2000-01-01,23.1503174603174603
2000-04-01,24.9239682539682540
2000-07-01,19.1690476190476190
2000-10-01,26.0166666666666667
2001-01-01,25.7264516129032258
2001-04-01,23.9238095238095238
2001-07-01,25.3803389830508475
2001-10-01,27.9100000000000000
2002-01-01,21.3608333333333333
2002-04-01,21.6431250000000000
2002-07-01,35.0684375000000000
2002-10-01,30.7267187500000000
2003-01-01,30.0226229508196721
2003-04-01,21.5312698412698413
2003-07-01,19.3201562500000000
2003-10-01,17.4271875000000000
2004-01-01,16.6580645161290323
2004-04-01,16.2112698412698413
2004-07-01,15.4460937500000000
2004-10-01,13.6514062500000000
2005-01-01,12.7870491803278689
2005-04-01,13.4073437500000000
2005-07-01,12.2507812500000000
2005-10-01,12.7817460317460317
2006-01-01,12.0424193548387097
2006-04-01,14.5287301587301587
2006-07-01,13.6079365079365079
2006-10-01,11.0349206349206349
2007-01-01,12.5636065573770492
2007-04-01,13.7319047619047619
2007-07-01,21.5892063492063492
2007-10-01,22.0298437500000000
2008-01-01,26.1201639344262295
2008-04-01,20.6729687500000000
2008-07-01,25.0929687500000000
2008-10-01,58.5878125000000000
2009-01-01,45.0000000000000000
2009-04-01,33.0157142857142857
2009-07-01,25.4862500000000000
2009-10-01,23.0718750000000000
2010-01-01,20.1496721311475410
2010-04-01,26.3914285714285714
2010-07-01,24.2835937500000000
2010-10-01,19.3184375000000000
2011-01-01,18.6148387096774194
2011-04-01,17.4823809523809524
2011-07-01,30.5835937500000000
2011-10-01,29.9395238095238095
2012-01-01,18.2040322580645161
2012-04-01,20.0357142857142857
2012-07-01,16.1917460317460317
2012-10-01,16.7650000000000000
2013-01-01,13.5270000000000000
2013-04-01,14.8370312500000000
2013-07-01,14.2796875000000000
2013-10-01,14.2328125000000000
2014-01-01,14.8288524590163934
2014-04-01,12.7382539682539683
2014-07-01,13.0726562500000000
2014-10-01,16.0723437500000000
2015-01-01,16.5647540983606557
2015-04-01,13.7401587301587302
2015-07-01,19.3071875000000000
2015-10-01,17.0332812500000000
2016-01-01,20.4862295081967213
2016-04-01,15.6759375000000000
2016-07-01,13.2339062500000000
2016-10-01,14.0979365079365079
2017-01-01,11.6919354838709677
2017-04-01,11.4263492063492063
2017-07-01,10.9442857142857143
2017-10-01,10.3079365079365079
2018-01-01,17.3547540983606557
2018-04-01,15.3375000000000000
2018-07-01,12.8568253968253968
2018-10-01,21.0536507936507937
2019-01-01,16.4686885245901639
2019-04-01,15.1830158730158730
2019-07-01,15.9601562500000000
2019-10-01,13.9857812500000000
2020-01-01,31.2245161290322581
2020-04-01,34.4936507936507937
2020-07-01,25.8089062500000000
2020-10-01,25.6217187500000000
2021-01-01,23.2024590163934426
2021-04-01,18.0000000000000000
2021-07-01,18.2873437500000000
2021-10-01,19.2751562500000000
2022-01-01,25.3729032258064516
2022-04-01,27.3984375000000000
2022-07-01,24.7927272727272727
2022-10-01,25.0026562500000000
2023-01-01,20.6840625000000000
2023-04-01,16.4412500000000000
2023-07-01,15.0132307692307692
2023-10-01,15.2862500000000000
2024-01-01,13.7125396825396825
2024-04-01,14.0323809523809524
